,name,tele
514,Bar Beau,(718) 278-4300
515,August,(212) 935-1433
516,e’s BAR,(212) 877-0961
517,Zoe’s Place,(718) 361-7895
518,Old Town Bar & Restaurant,(212) 529-6732
519,Beasts & Bottles,(718) 855-3158
520,Sanfords Astoria,(718) 932-9569
521,Alameda,(718) 932-9569
522,Tryon Public House,(646) 918-7129
523,Butch & Coco Cafe,(347) 240-7640
524,Jackson’s Eatery | Bar,(347) 649-1721
525,MATTER,(718) 650-3030
526,5 Napkin Burger,(212) 249-0777
527,AOA Bar & Grill,(212) 925-1600
528,My Friend Duke,(646) 455-0684
529,Two Saints,(347) 627-8444
530,The Edge Harlem,(212) 939-9688
531,Doc Watson’s,(212) 988-5300
532,Sarabeths - Central Park,(212) 826-5959
533,The Nugget Spot,(646) 422-7346
534,Chicken Shack,(718) 721-3035
535,The Liberty,(212) 967-4000
536,Charlie’s Bar & Kitchen,(718) 684-2338
537,Fields Good Chicken,(212) 675-0462
538,Tina’s Place,(718) 821-9595
539,The Shadmoor,(212) 385-9195
540,Hill Country Chicken,(212) 257-6446
541,The Factory Bar & Restaurant,(718) 381-2332
542,Mad Donkey Beer Bar & Grill,(718) 204-2070
543,Black Emperor Bar,(646) 362-5843
544,Chadwick’s,(718) 833-9855
545,Bocado Cafe,(212) 289-9004
546,Loosie’s Kitchen,(718) 384-2904
547,The Wayfarer,(212) 691-0030
548,Atlantic Grill,(212) 787-4663
549,North Square,(212) 254-1200
550,Hard Rock Cafe,(212) 343-3355
551,Sarabeth’s East,(212) 410-7335
552,Hart’s Restaurant,(718) 636-6228
553,Boston Market,(212) 206-1221
554,Westville - Wall St,(212) 741-4780
555,The Blacksmith NYC Bar and Kitchen,(212) 337-8301
556,Legacy Records,(929) 418-0115
557,Julia’s,(917) 909-1314
558,AOA Bar & Grill,(212) 925-1600
559,Divine Bar & Grill,(718) 455-5455
560,Midnights,(718) 384-6961
561,Slick Willie Table & Bar,(929) 337-6043
562,Clinton Hall,(212) 363-6000
563,TGA NYC,(212) 651-4842
564,McFadden’s,(212) 986-1515
565,Del Frisco’s Double Eagle Steakhouse,(212) 575-5129
566,Frying Pan Brooklyn,(646) 708-1814
567,The Counter,(212) 997-6801
568,Blue Smoke,(212) 447-7733
569,The Meatball Shop,(212) 257-4363
570,Auriga Cafe,(646) 669-7231
571,Connolly’s Pub & Restaurant,(212) 489-0271
572,Sant Ambroeus Coffee Bar at Loews Regency Hotel,(212) 339-4051
573,Gertie,(718) 636-0902
574,The Grey Dog - Nolita,(212) 966-1060
575,Rose’s,(718) 230-0427
576,Emma Bistro,(201) 402-7719
577,The Farm On Adderley,(718) 287-3101
578,Sons of Essex,(212) 674-7100
579,Dig,(212) 253-6174
580,Connolly’s Pub & Restaurant,(212) 867-3767
581,Dickey’s Barbecue Pit,(347) 889-5400
582,Ocean Prime,(212) 956-1404
583,Koda Restaurant & Lounge,(347) 223-4026
584,Brooklyn Diner,(212) 977-1957
585,Clyde Fraziers Wine and Dine,(212) 842-1110
586,WOW Bistro,(718) 980-8866
587,Lucky’s Famous Burgers,(212) 242-4900
588,NYC Style Gyro,(646) 361-1008
589,AOA Bar & Grill,(212) 925-1600
590,Pure Bistro,(718) 622-5314
591,Fraunces Tavern,(212) 968-1776
592,Island,(212) 996-1200
593,9ten Restaurant,(917) 639-3366
594,O’Keefe’s Bar & Grill,(718) 855-8751
595,Corkscrew Bar,(201) 239-0087
596,Fuel Juice Bar,(347) 787-1834
597,Fields Good Chicken,(646) 895-6831
598,JoJo,(212) 223-5656
599,Cafe Clover,(212) 675-4350
600,Mott Haven Bar and Grill,(718) 665-2001
601,Phebe’s,(212) 358-1902
602,Maxwell’s Central Park,(646) 657-0993
603,The Hop Shoppe,(718) 448-3400
604,Prohibition,(212) 579-3100
605,Chez Ma Tante,(718) 389-3606
606,The House of Brews,(212) 245-0551
607,Motel Morris,(646) 880-4810
608,Silver Light Tavern,(718) 963-0384
609,Alfie’s,(212) 757-2390
610,Blvd Diner,(718) 806-1499
611,SPiN 54,(212) 982-8802
612,Ten Hope,(347) 916-0951
613,Pino Wine Bar,(917) 991-3718
614,Hudson Yards Grill,(212) 545-7600
615,Blackbarn Cafe | Bar,(212) 620-0041
616,"Whispers Restaurant, Bar & Lounge",(646) 864-3618
617,Klein’s,(718) 215-7100
618,Johnny Utah’s,(212) 265-8824
619,Sarabeth’s Tribeca,(212) 966-0421
620,AOA Bar & Grill,(212) 925-1600
621,Michael’s,(212) 767-0555
622,Merchants River House,(212) 432-1451
623,Magdalene,(347) 689-2988
624,Simon & The Whale,(212) 475-1924
625,Tipsy NoMad,(212) 481-3100
626,Windy City Ale House,(718) 630-5700
627,Black Iron Burger,(929) 419-6888
628,Max Brenner - New York,(646) 467-8803
629,& Sons,(718) 281-0159
630,Jack Demsey’s,(212) 629-9899
631,Ducks Eatery,(212) 432-3825
632,The Distillery,(212) 767-0077
633,Hurley’s,(212) 765-8981
634,Sugar N Coal,(718) 200-9606
635,Barfly NY,(212) 473-9660
636,Sojourn,(212) 537-7745
637,Mile 17 Bar & Restaurant,(212) 772-1734
638,Hot Potato House,(718) 975-7990
639,Clinton Hall,(212) 758-8519
640,Seven Restaurant,(718) 230-7777
641,Bridie’s Bar & Grill,(718) 426-8580
642,Sticky’s Finger Joint,(646) 490-5856
643,Traif,(347) 844-9578
644,Irvington,(212) 677-0425
645,The Brooklyneer,(646) 692-4911
646,Wolfgang’s Steakhouse,(212) 921-3720
647,El Paso Mexican Grill Flatbush,(347) 305-3600
648,Nowon,(646) 692-3867
649,Evodio’s Place,(718) 857-2368
650,Black Iron Burger,(646) 747-0814
651,AOA Bar & Grill,(212) 925-1600
652,Sky 55 Bar & Grill,(646) 590-6556
653,At the Wallace,(646) 590-6556
654,Covina,(212) 204-0225
655,June,(917) 909-0434
656,Dawa’s,(718) 899-8629
657,Made Nice,(212) 887-1677
658,Clancey,(917) 388-3575
659,Sticky’s Finger Joint,(917) 444-1810
660,Park Avenue Winter,(212) 951-7111
661,Point Break,(212) 391-8053
662,Gemini,(212) 532-2143
663,Dominie’s Hoek,(212) 532-2143
664,Anopoli Ice Cream Parlor and Family Restaurant,(718) 748-3863
665,Bistro Verde - Temporarily Closed,(212) 295-2187
666,American Whiskey,(212) 967-1070
667,Jean-Georges,(212) 299-3900
668,Dillingers Pub & Grill,(718) 956-5601
669,Hill and Bay,(212) 245-5554
670,Upper East Café,(917) 475-1721
671,Overlook,(212) 682-7267
672,Mathews Food & Drink,(201) 333-1258
673,Wing Jawn,(347) 987-4379
674,Clement,(212) 903-3918
675,Clover Club,(718) 855-7939
676,G.Millz Boken Roadhouse,(201) 620-9875
677,R Lounge at Two Times Square,(212) 261-5114
678,Buckley’s Restaurant and Catering,(718) 998-4222
679,Community Food & Juice,(212) 665-2800
680,Chris’s Restaurant,(347) 462-3755
681,As Is NYC,(646) 858-1153
682,AOA Bar & Grill,(212) 925-1600
683,5C Cafe,(917) 261-6249
684,Hardee’s,(718) 773-2789
685,Redeye Grill,(212) 541-9000
686,NOMO Kitchen,(646) 218-6400
687,The Highwater,(917) 745-0407
688,La Cabana Rodriguez - Rodriguez Fried Chicken,(718) 287-0248
689,Anable Basin Sailing Bar & Grill,(646) 207-1333
690,M J Smith’s Food & Spirits,(646) 596-7497
691,3rd & 7,(718) 336-6300
692,BorinQuenya Restaurant,(718) 567-9305
693,Cafe Grill,(718) 397-7111
694,Piquant,(718) 484-4114
695,The Banty Rooster,(646) 767-9227
696,Taboonette,(212) 510-7881
697,Eliza’s Local,(212) 203-9931
698,Library of Distilled Spirits,(646) 878-0396
699,Hard Rock Cafe,(646) 977-8888
700,ABCV,(212) 475-5829
701,Waterfront Ale House,(212) 696-4104
702,Hooters,(212) 695-9580
703,Bin 71,(212) 362-5446
704,Craft Culture,(718) 628-3931
705,Pig ‘N’ Whistle,(212) 819-0095
706,L’ADRESSE,(212) 221-2510
707,Gramercy Ale House,(212) 260-1129
708,Latham House,(201) 479-8432
709,Emojo Burger,(212) 228-7587
710,Brooklyn Pub,(718) 369-0088
711,Blue Ribbon Federal Grill,(212) 337-0404
712,The Ainsworth - Midtown,(212) 201-1228
713,AOA Bar & Grill,(212) 925-1600
714,Bait & Hook,(212) 260-8015
715,Rye House,(212) 255-7260
716,Hilltop Park Alehouse,(646) 438-9293
717,Mimi’s Italian Restaurant & Piano Bar,(212) 688-4692
718,Formerly Crow’s,(212) 361-0077
719,Win Son,(347) 457-6010
720,The Great Burrito,(212) 724-5151
721,Sweet Chick,(718) 433-4064
722,CMX CinéBistro - New York,(646) 964-0572
723,BG Restaurant,(212) 872-8977
724,O’Sullivan’s Bar & Grill,(718) 745-9619
725,Chicky’s,(212) 996-8277
726,Gourmet 53,(212) 223-8481
727,Bondurants,(929) 279-1884
728,Plado Tasting Bar,(646) 850-5151
729,Big John’s Coffee Shop & Grill,(718) 965-1808
730,The Randall Manor Tavern,(347) 855-2724
731,Basilio Inn,(718) 720-6835
732,The Anchored Inn,(718) 576-3297
733,Imani Caribbean Kitchen & Bar,(718) 923-0100
734,The Richmond,(718) 489-8805
735,Virgil’s Real BBQ - New York,(212) 921-9494
736,The Brewery Bar & Kitchen,(718) 777-8007
737,The Odeon,(212) 233-0507
738,Abracadabra Brooklyn,(347) 844-9157
739,Dig,(212) 253-6176
740,The Waverly Inn,(917) 828-1154
741,Treadwell Park,(212) 945-0528
742,Sunday in Brooklyn,(347) 222-6722
743,Nomad,(212) 253-5410
744,Jack Doyle’s Bar & Restaurant,(212) 268-1255
745,The Headless Horseman,(212) 777-5101
746,Fort Defiance,(347) 453-6672
747,The Happiest Hour,(212) 243-2827
748,Smoke Jazz & Supper Club,(212) 864-6662
749,Buddy’s Jc,(201) 432-2600
750,Midpoint Bistro and Bar,(212) 354-6400
751,Putnam’s Pub & Cooker,(347) 799-2382
752,Planet Hollywood,(212) 333-7827
753,Sunshine,(347) 750-5275
754,Harry’s Food And Drink,(201) 861-8101
755,Alphaville,(347) 413-8801
756,Jane’s Eatery,(718) 819-8831
757,Ruffian,(718) 819-8831
758,Keats Bar,(212) 682-5490
759,Stocked Cafe & Burgers,(718) 872-5304
760,Mulberry & Vine,(917) 810-2843
761,Uncle Peter’s,(718) 651-8600
762,Short Stories,(718) 651-8600
763,Mickey Spillane’s,(212) 600-1672
764,Home Frite,(347) 627-3266
765,Down The Road Pub,(917) 472-7799
766,Venus Restaurant,(718) 287-4949
767,Cornerstone Tavern,(212) 888-7403
768,Cronin & Phelan’s,(718) 545-8999
769,Bedford & Co,(212) 634-4040
770,107 West Restaurant,(212) 864-1555
771,Vitae,(212) 682-3562
772,Pennsylvania 6 NYC,(212) 727-3666
773,Broome Street Bar,(212) 925-2086
774,The Standard Grill,(212) 645-4100
775,AOA Bar & Grill,(212) 925-1600
776,Kitchen 21,(718) 996-0502
777,Smith’s Bar & Restaurant,(212) 247-2161
778,Delmonico’s,(212) 509-1144
779,Delicacy,(212) 697-4444
780,The Royal Underground,(718) 606-6610
781,Marthitas Kitchen,(347) 435-0075
782,George’s New York,(212) 269-8026
783,FREEHOLD,(718) 388-7591
784,The Gin Mill,(212) 580-9080
785,Bar Sardine,(646) 360-3705
786,The Shepherd & the Knucklehead of Hoboken,(201) 714-4222
787,Mama’s,(718) 784-7045
788,AWOL Bar & Grill,(646) 682-9405
789,Simple Cafe & Restaurant,(718) 218-7067
790,Yes Chef Wine Bar,(718) 433-9794
791,Yeah Dawg Vegan,(848) 702-2830
792,Beets and Carrots,(718) 333-5011
793,Nycstreats,(929) 297-3543
794,Casa Nomad,(646) 870-0404
795,Dark Horse,(212) 608-3900
796,Tara Rose,(347) 265-6855
797,Bellwether,(718) 392-3257
798,Ricardo Steak House,(212) 289-5895
799,Looking Glass Bar,(917) 966-9674
800,Cocoa Grinder,(718) 778-1003
801,Dunhill Cafe & Caterers,(212) 944-8484
802,The Village Den,(212) 944-8484
803,Untitled at the Whitney,(212) 570-3670
804,Crif Dogs,(212) 614-2728
805,Bryant Park Grill,(212) 840-6500
806,AOA Bar & Grill,(212) 925-1600
807,Emma’s Torch,(718) 243-1222
808,Frites ‘n’ Meats,(917) 292-9226
809,Hogshead Tavern,(212) 234-1154
810,Candle Cafe West,(212) 769-8900
811,Black Horse Pub,(718) 788-1975
812,Petra Bar & Restaurant,(718) 676-0926
813,Wolfnights,(646) 669-8070
814,John & Mr. B’s Kitchen,(201) 420-6661
815,O’Brien’s Irish Pub,(212) 391-1516
816,Craft,(212) 780-0880
817,Characters NYC,(212) 459-8904
818,The Orchard Townhouse,(646) 970-5670
819,Tri Tip Grill,(212) 664-1030
820,Otway,(917) 909-1889
821,Handsome Hank’s,(929) 296-3946
822,Baby’s All Right,(718) 599-5800
823,The Park View,(212) 544-9024
824,Crompton Ale House,(212) 658-0089
825,Bobby Van’s Steakhouse,(212) 957-5050
826,Delia’s Lounge & Restaurant,(718) 745-7999
827,Sal Restaurant,(718) 735-0258
828,IHOP,(718) 222-4467
829,Joshua Tree,(212) 689-0058
830,Two Hands,(212) 689-0058
831,ACRE,(718) 954-9074
832,Teddy’s Bar & Grill,(718) 384-9787
833,Sekend Sun,(917) 832-6414
834,The Dakota Bar,(212) 787-0700
835,Hudson Clearwater,(212) 989-3255
836,Sedona Taphouse,(201) 943-2300
837,AOA Bar & Grill,(212) 925-1600
838,Le Garage,(347) 295-1700
839,Dishes,(212) 687-5511
840,44 & X Hell’s Kitchen,(212) 977-1170
841,The Cecil Steakhouse,(212) 866-1262
842,Saxon + Parole,(212) 254-0350
843,Landhaus at Berg’n,(718) 857-2338
844,Penelope,(212) 481-3800
845,Bronx Alehouse,(718) 601-0204
846,Anytime,(646) 669-7733
847,Baron’s,(718) 230-7100
848,Michael’s Restaurant,(718) 726-7474
849,Pomona NYC,(212) 753-1200
850,The Whiskey Brooklyn,(718) 387-8444
851,Ida’s Nearabout,(718) 433-1916
852,Dark Side Of The Moo,(201) 216-0495
853,Vero,(917) 525-7373
854,The Brazen Fox,(212) 353-1063
855,Pastrami Queen,(212) 734-1500
856,Morton’s The Steakhouse,(212) 608-0171
857,Johnny Mack’s Bar & Grill,(718) 832-7961
858,The Mark Restaurant,(212) 606-3030
859,Forgtmenot,(646) 707-3195
860,Lokal 83 Mediterranean Kitchen,(212) 595-5554
861,Cafe Nunez,(212) 564-7444
862,Union Square Cafe,(212) 243-4020
863,Ny Mishima,(212) 588-1089
864,Westside Restaurant,(212) 724-4000
865,The Elgin,(212) 221-2100
866,The Terrace and Outdoor Gardens,(212) 261-5400
867,Salty Dog Bar and Restaurant,(718) 238-0030
868,Jack Doyle’s Bar & Restaurant,(212) 268-1255
869,Sticky’s Finger Joint,(212) 777-7131
870,Andy’s Restaurant,(212) 860-2614
871,Cavalino’s,(201) 662-7118
872,Dig,(212) 421-3055
873,The Grange Bar and Eatery,(212) 491-1635
874,Paper Daisy,(212) 491-1635
875,Seasoned Vegan,(212) 222-0092
876,TKO Chicken,(718) 627-2737
877,City Winery,(718) 627-2737
878,Eleven Madison Park,(212) 889-0905
879,Amity Hall,(212) 677-2290
880,Manhattan Proper,(646) 559-4445
881,Maggie Reillys Restaurant,(646) 476-3209
882,The Morgan Dining Room,(212) 683-2130
883,Gigi Cafe,(212) 807-8500
884,Horn’s Hook Tavern,(212) 879-1500
885,Astro Restaurant,(212) 489-6284
886,Blue Haven,(212) 505-3400
887,Perkins Restaurant & Bakery,(718) 979-9180
888,Sarabeth’s,(212) 335-0093
889,Brooks 1890 Restaurant,(718) 937-1890
890,Skinner’s Loft,(201) 915-0600
891,Sticky’s Finger Joint,(718) 596-6181
892,Halsey’s Tavern,(718) 267-2735
893,Bel Aire Diner,(718) 721-3160
894,Manor Oktoberfest,(718) 544-2400
895,Sweet Science,(347) 763-0872
896,Brooklyn Bowl,(718) 963-3369
897,Delmonico NYC,(212) 661-0150
898,Butter Midtown,(212) 253-2828
899,AOA Bar & Grill,(212) 925-1600
900,Two Hands,(212) 925-1600
901,The Mercer Kitchen,(212) 966-5454
902,Home Sweet Harlem,(212) 926-9616
903,The Times Eatery,(646) 386-7787
904,Reservoir,(212) 475-0770
905,Dig,(212) 246-6844
906,200 Fifth,(718) 638-2925
907,Sisters,(347) 763-2537
908,The Carlyle Restaurant,(212) 744-1600
909,White Star Warren,(201) 209-1900
910,Jody’s Club Forest,(718) 727-6338
911,Down the Hatch,(212) 627-9747
912,La Flor,(718) 426-8023
913,Giorgio’s of Gramercy,(212) 477-0007
914,La Cantina Heights,(212) 477-0007
915,The G.O.A.T,(929) 308-0401
916,Alison,(646) 876-1054
917,Av P Coffee Shop,(347) 673-5506
918,The Common,(718) 680-3030
919,Del Frisco’s Grille,(212) 786-0760
920,New Corner Restaurant,(718) 833-0800
921,The Stumble Inn,(212) 650-0561
922,Egg Shop,(646) 787-7502
923,Wine:30,(212) 481-0197
924,Harlem Tavern,(212) 866-4500
925,Madd Hatter,(201) 850-1281
926,Hexagon Lounge,(646) 838-6500
927,Branded Saloon,(718) 484-8704
928,Pastrami Masters,(718) 576-3547
929,The Grill At Tasty Cafe,(646) 349-2766
930,AOA Bar & Grill,(212) 925-1600
931,Corner Bistro,(718) 606-6500
932,Baku Palace Restaurant,(718) 615-4700
933,Farmer & The Fish- Gramercy,(646) 998-5991
934,Bobby Van’s Steakhouse,(212) 207-8050
935,Coarse NY,(646) 896-1404
936,Calato,(929) 298-0122
937,Big Daddy’s,(212) 477-1500
938,The Bronx Public,(347) 773-5186
939,The Cheesecake Factory,(201) 876-5810
940,The New Amity Restaurant,(212) 861-3255
941,Greenhouse Cafe,(718) 833-8200
942,Moonstruck,(212) 867-2545
943,Snacks N Wheels,(212) 971-6300
944,The Hideaway Seaport,(212) 385-2222
945,Light Rail Cafe,(201) 434-9900
946,Casellula,(212) 247-8137
947,East Harlem Bottling,(646) 922-7705
948,West Bank Cafe,(212) 695-6909
949,Cowgirl Seahorse,(212) 608-7873
950,Satyr Grill,(718) 456-4745
951,Peaches Shrimp and Crab,(718) 638-9500
952,Lucky Cheng’s,(212) 995-5500
953,Chirping Chicken,(917) 675-6515
954,Viand Cafe,(212) 751-6622
955,Wollensky Grill,(212) 753-0444
956,Jams,(917) 997-4580
957,Red Paper Clip,(646) 596-7476
958,Pig ‘N’ Whistle,(917) 639-3864
959,Clay,(212) 729-1850
960,Feile,(212) 695-1122
961,AOA Bar & Grill,(212) 925-1600
962,Trophy Bar,(347) 227-8515
963,Essex,(212) 533-9616
964,El Mirador,(718) 686-7101
965,Eat Here Now,(646) 707-3500
966,Baker Street Pub,(212) 688-9663
967,Green Kitchen,(212) 988-4163
968,Croton Reservoir Tavern,(212) 997-6835
969,Fieldtrip,(917) 639-3919
970,Peculier Pub,(212) 353-1327
971,The Beast Next Door,(718) 255-1612
972,Alewife NYC,(718) 937-7494
973,Midnight Express Diner,(212) 860-2320
974,East Hae,(929) 239-3421
975,Custom House,(718) 643-6000
976,Someday Bar,(929) 480-8454
977,Hot Chix,(718) 451-1122
978,Ryan Maguire’s Bar & Restaurant,(212) 566-6906
979,Court Street Restaurant & Bar,(201) 795-4515
980,Three Guys Restaurant,(212) 628-8108
981,The Buffs,(718) 361-2362
982,Windfall Restaurant,(212) 869-4606
983,Crown Fried Chicken,(212) 982-2850
984,Mokum,(212) 799-4111
985,Cherry Valley Deli & Grill,(718) 767-1937
986,The Ear Inn,(212) 226-9060
987,Upstairs at 21,(212) 582-7200
988,Veggie Grill,(332) 600-7001
989,El Marquez,(347) 848-0072
990,Tommy’s Tavern + Tap,(718) 489-2201
991,GMT Tavern,(646) 863-3776
992,AOA Bar & Grill,(212) 925-1600
993,Daisy’s Diner,(718) 788-1438
994,Cafe R,(212) 695-9550
995,Abba Bar and Grill,(347) 844-9655
996,American Grill NYC,(718) 585-6978
997,McHale’s Bar & Grill,(212) 957-5138
998,Sticky’s Finger Joint,(646) 998-4407
999,Nisi,(212) 752-1517
1000,The Consulate,(646) 781-9288
1001,Beatstro,(718) 489-9397
1002,Mama Tere Taverna,(929) 387-8400
1003,Hudson Bar Room,(646) 952-5980
1004,Fanelli’s Cafe,(212) 226-9412
1005,Marc Forgione,(212) 941-9401
1006,Metro Diner,(212) 866-0800
1007,The Madison Bar & Grill,(201) 386-0300
1008,Ltauha Restaurant,(347) 689-3462
1009,Shake Shack,(646) 230-0696
1010,The CopperPot,(929) 276-3330
1011,Slope’s Bistro,(929) 276-3330
1012,Lo-Res Bar,(718) 782-8370
1013,Industry Kitchen,(212) 487-9600
1014,The Wayland,(212) 777-7022
1015,Bijan’s,(718) 855-5574
1016,Pete’s Tavern,(212) 473-7676
1017,Bareburger,(917) 965-2136
1018,Ryan’s Daughter,(212) 628-2613
1019,Lizzie King’s Parlor,(347) 460-7514
1020,The Musket Room,(212) 219-0764
1021,Manhatta,(212) 230-5788
1022,Ferris,(646) 928-4428
